time,delta1_true,delta1_est,delta2_true,delta2_est,delta3_true,delta3_est,omega1_true,omega1_est,omega2_true,omega2_est,omega3_true,omega3_est
0.0000,0.039647,0.039657,0.344382,0.344366,0.229802,0.229779,0.000000,-0.000000,-0.000000,0.000002,0.000000,0.000003
0.0500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000028,-0.000000,0.000033,0.000000,0.000165
0.1000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000055,-0.000000,0.000062,0.000000,0.000318
0.1500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000079,-0.000000,0.000088,0.000000,0.000458
0.2000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000100,-0.000000,0.000111,0.000000,0.000580
0.2500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000118,-0.000000,0.000130,0.000000,0.000684
0.3000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000132,-0.000000,0.000146,0.000000,0.000770
0.3500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000145,-0.000000,0.000159,0.000000,0.000840
0.4000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000154,-0.000000,0.000170,0.000000,0.000896
0.4500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000162,-0.000000,0.000178,0.000000,0.000939
0.5000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000168,-0.000000,0.000184,0.000000,0.000974
0.5500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000173,-0.000000,0.000189,0.000000,0.001000
0.6000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000177,-0.000000,0.000193,0.000000,0.001021
0.6500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000180,-0.000000,0.000195,0.000000,0.001036
0.7000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000182,-0.000000,0.000198,0.000000,0.001049
0.7500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000184,-0.000000,0.000199,0.000000,0.001058
0.8000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000185,-0.000000,0.000200,0.000000,0.001065
0.8500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000186,-0.000000,0.000201,0.000000,0.001071
0.9000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000187,-0.000000,0.000202,0.000000,0.001076
0.9500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000188,-0.000000,0.000203,0.000000,0.001079
1.0000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000188,-0.000000,0.000203,0.000000,0.001082
1.0500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000189,-0.000000,0.000203,0.000000,0.001084
1.1000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000189,-0.000000,0.000204,0.000000,0.001086
1.1500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000190,-0.000000,0.000204,0.000000,0.001087
1.2000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000190,-0.000000,0.000204,0.000000,0.001088
1.2500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000190,-0.000000,0.000204,0.000000,0.001089
1.3000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000190,-0.000000,0.000204,0.000000,0.001090
1.3500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000190,-0.000000,0.000204,0.000000,0.001090
1.4000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000190,-0.000000,0.000204,0.000000,0.001091
1.4500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000204,0.000000,0.001091
1.5000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000204,0.000000,0.001092
1.5500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001092
1.6000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001092
1.6500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001092
1.7000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001092
1.7500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
1.8000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
1.8500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
1.9000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
1.9500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.0000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.0500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.1000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.1500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.2000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.2500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.3000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.3500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.4000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.4500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.5000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.5500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.6000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.6500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.7000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.7500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.8000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.8500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.9000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
2.9500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.0000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.0500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.1000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.1500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.2000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.2500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.3000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.3500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.4000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.4500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.5000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.5500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.6000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.6500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.7000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.7500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.8000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.8500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.9000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
3.9500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
4.0000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
4.0500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
4.1000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
4.1500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
4.2000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
4.2500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
4.3000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
4.3500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
4.4000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
4.4500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
4.5000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
4.5500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
4.6000,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
4.6500,0.039647,0.039652,0.344382,0.344369,0.229802,0.229778,0.000000,-0.000191,-0.000000,0.000205,0.000000,0.001093
