# time,delta1,delta2,delta3,omega1,omega2,omega3,RMSE  fault_tSW=0.0100  fault_tFC=0.0130
0.000000,0.03965703,0.34436646,0.22977851,-0.00000048,0.00000380,0.00000501,0.07375690
0.001000,0.03965265,0.34436881,0.22977798,-0.00000125,0.00000485,0.00000838,0.09019865
0.002000,0.03965234,0.34436880,0.22977782,-0.00000183,0.00000548,0.00001166,0.10407746
0.003000,0.03965230,0.34436877,0.22977779,-0.00000240,0.00000610,0.00001494,0.11630604
0.004000,0.03965230,0.34436877,0.22977778,-0.00000296,0.00000672,0.00001822,0.12736020
0.005000,0.03965230,0.34436876,0.22977778,-0.00000353,0.00000733,0.00002150,0.13752325
0.006000,0.03965230,0.34436876,0.22977778,-0.00000409,0.00000795,0.00002478,0.14697999
0.007000,0.03965230,0.34436876,0.22977778,-0.00000466,0.00000857,0.00002805,0.15585890
0.008000,0.03965230,0.34436876,0.22977778,-0.00000522,0.00000918,0.00003133,0.16425355
0.009000,0.03965230,0.34436877,0.22977778,-0.00000578,0.00000980,0.00003460,0.17223464
0.010000,0.19623354,0.06507149,0.14069664,0.01610569,0.00836988,0.02761242,0.18015393
0.011000,-0.20115958,0.74650472,0.21866108,-0.02736596,0.11755816,0.07863222,0.18751050
0.012000,0.63664179,-0.98374924,0.20262969,0.07136909,-0.03953524,0.10031292,0.19455054
0.013000,-0.79187398,1.45776282,0.71812682,-0.11363473,0.31088762,0.21460708,0.20132866
0.014000,-0.27959667,1.04300228,0.09034811,-0.02425661,0.23789995,0.09842788,0.20765538
0.015000,0.00971915,0.46194259,0.13910809,0.03033578,0.12543367,0.10973237,0.21393882
0.016000,0.04216472,0.31268716,0.25228444,0.03676767,0.09531873,0.14187126,0.22008470
0.017000,0.04267105,0.30519739,0.26508493,0.03690748,0.09539397,0.14874862,0.22607139
0.018000,0.04295360,0.30497093,0.26657757,0.03704590,0.09709718,0.15255948,0.23190021
0.019000,0.04304293,0.30501440,0.26678695,0.03715902,0.09887791,0.15603314,0.23758171
0.020000,0.04306397,0.30503070,0.26682186,0.03726061,0.10065547,0.15946180,0.24312609
0.021000,0.04306874,0.30503483,0.26682875,0.03735896,0.10242952,0.16288124,0.24854244
0.022000,0.04307004,0.30503595,0.26683061,0.03745631,0.10420141,0.16629669,0.25383885
0.023000,0.04307061,0.30503643,0.26683151,0.03755318,0.10597152,0.16970903,0.25902260
0.024000,0.04307104,0.30503678,0.26683222,0.03764967,0.10773991,0.17311837,0.26410024
0.025000,0.04307144,0.30503710,0.26683290,0.03774582,0.10950658,0.17652468,0.26907770
0.026000,0.04307184,0.30503741,0.26683356,0.03784162,0.11127149,0.17992791,0.27396034
0.027000,0.04307223,0.30503772,0.26683423,0.03793707,0.11303463,0.18332802,0.27875308
0.028000,0.04307262,0.30503803,0.26683489,0.03803217,0.11479596,0.18672494,0.28346039
0.029000,0.04307302,0.30503834,0.26683555,0.03812693,0.11655546,0.19011861,0.28808639
0.030000,0.04307341,0.30503865,0.26683621,0.03822133,0.11831308,0.19350899,0.29263485
0.031000,0.04307380,0.30503895,0.26683687,0.03831539,0.12006882,0.19689600,0.29710927
0.032000,0.04307419,0.30503926,0.26683753,0.03840908,0.12182263,0.20027961,0.30151286
0.033000,0.04307458,0.30503957,0.26683819,0.03850243,0.12357448,0.20365974,0.30584862
0.034000,0.04307497,0.30503988,0.26683885,0.03859542,0.12532436,0.20703635,0.31011933
0.035000,0.04307536,0.30504018,0.26683950,0.03868804,0.12707223,0.21040938,0.31432755
0.036000,0.04307575,0.30504049,0.26684016,0.03878031,0.12881805,0.21377877,0.31847571
0.037000,0.04307614,0.30504080,0.26684082,0.03887222,0.13056181,0.21714447,0.32256605
0.038000,0.04307653,0.30504110,0.26684147,0.03896377,0.13230348,0.22050642,0.32660068
0.039000,0.04307691,0.30504141,0.26684213,0.03905496,0.13404302,0.22386458,0.33058158
0.040000,0.04307730,0.30504171,0.26684278,0.03914578,0.13578041,0.22721887,0.33451060
0.041000,0.04307769,0.30504202,0.26684343,0.03923623,0.13751563,0.23056926,0.33838949
0.042000,0.04307807,0.30504232,0.26684408,0.03932632,0.13924863,0.23391569,0.34221989
0.043000,0.04307846,0.30504263,0.26684473,0.03941604,0.14097941,0.23725810,0.34600335
0.044000,0.04307884,0.30504293,0.26684538,0.03950539,0.14270792,0.24059644,0.34974134
0.045000,0.04307923,0.30504323,0.26684603,0.03959437,0.14443414,0.24393066,0.35343523
0.046000,0.04307961,0.30504354,0.26684668,0.03968298,0.14615805,0.24726071,0.35708635
0.047000,0.04308000,0.30504384,0.26684733,0.03977121,0.14787962,0.25058652,0.36069593
0.048000,0.04308038,0.30504414,0.26684798,0.03985907,0.14959882,0.25390806,0.36426515
0.049000,0.04308076,0.30504444,0.26684862,0.03994656,0.15131562,0.25722527,0.36779513
0.050000,0.04308114,0.30504474,0.26684927,0.04003367,0.15303000,0.26053809,0.37128694
0.051000,0.04308153,0.30504505,0.26684991,0.04012040,0.15474194,0.26384648,0.37474160
0.052000,0.04308191,0.30504535,0.26685056,0.04020675,0.15645140,0.26715038,0.37816006
0.053000,0.04308229,0.30504564,0.26685120,0.04029272,0.15815836,0.27044975,0.38154325
0.054000,0.04308267,0.30504594,0.26685184,0.04037831,0.15986280,0.27374454,0.38489205
0.055000,0.04308305,0.30504624,0.26685248,0.04046352,0.16156468,0.27703468,0.38820730
0.056000,0.04308342,0.30504654,0.26685312,0.04054834,0.16326399,0.28032015,0.39148980
0.057000,0.04308380,0.30504684,0.26685376,0.04063278,0.16496069,0.28360087,0.39474032
0.058000,0.04308418,0.30504714,0.26685440,0.04071683,0.16665477,0.28687682,0.39795960
0.059000,0.04308456,0.30504743,0.26685503,0.04080050,0.16834620,0.29014793,0.40114834
0.060000,-0.05551379,0.37646190,0.35550563,-0.01164888,0.20800164,0.33970831,0.40430721
0.061000,-0.17985888,0.47191322,0.46787064,-0.07464986,0.25472166,0.38738411,0.40743883
0.062000,-0.33097259,0.59509339,0.60017437,-0.14834247,0.31025471,0.42998380,0.41054464
0.063000,-0.50234405,0.74745839,0.73819910,-0.22924312,0.37648150,0.46158849,0.41362706
0.064000,-0.67725200,0.92766592,0.85306865,-0.30904658,0.45587090,0.47223162,0.41668870
0.065000,-0.83236345,1.13889902,0.90168311,-0.37642040,0.55545151,0.44584966,0.41973109
0.066000,-0.94504884,1.41142294,0.82431950,-0.42021935,0.69859610,0.35337975,0.42275282
0.067000,-0.98132470,1.81779937,0.56268712,-0.42172683,0.93441774,0.15999385,0.42574756
0.068000,-0.87398740,2.30153857,0.27908732,-0.34181770,1.23776796,-0.04138282,0.42870553
0.069000,-0.65980530,2.62290210,0.22150695,-0.20148117,1.46391308,-0.10205044,0.43163216
0.070000,-0.46433246,2.81640449,0.24316047,-0.07383545,1.62019247,-0.10784432,0.43453513
0.071000,-0.32480938,2.93943969,0.26487642,0.01902565,1.73515656,-0.10658323,0.43741466
0.072000,-0.23248441,3.01778465,0.27726153,0.08223343,1.82292844,-0.10538720,0.44027108
0.073000,-0.17270559,3.06704482,0.28288071,0.12468871,1.89260736,-0.10421714,0.44310462
0.074000,-0.13419581,3.09755328,0.28446668,0.15337987,1.95038494,-0.10261666,0.44591553
0.075000,-0.10947064,3.11600023,0.28372637,0.17302131,2.00033414,-0.10041274,0.44870416
0.076000,-0.09356109,3.12683079,0.28180740,0.18679326,2.04520702,-0.09749684,0.45147084
0.077000,-0.08334883,3.13287171,0.27928910,0.19671926,2.08678022,-0.09392254,0.45421595
0.078000,-0.07681926,3.13589065,0.27659473,0.20412430,2.12618395,-0.08970274,0.45693984
0.079000,-0.07266301,3.13710090,0.27397071,0.20988201,2.16421052,-0.08487465,0.45964284
