delta1,delta2,delta3,omega1,omega2,omega3
1.53125988,45.10196817,0.46362680,0.02289674,-0.35240775,0.27062729
4.24117466,53.58875952,-0.75966416,-0.02458789,-0.35120258,-0.03108085
-1.98701015,44.88644031,1.73658010,-0.01158078,-0.39100654,0.11091080
-5.68762149,-15.47649441,-1.06784367,-0.09728724,-0.45223480,-0.02133941
-2.55237222,9.56824018,-0.91985868,-0.07368048,-0.15743733,0.10218479
-1.23220034,106.75906468,0.61547160,0.03761555,1.23076629,-0.11760170
1.15644795,152.60479012,7.14092128,7.61082428,1.01631278,12.20246513
14.95752134,-27.21446609,11.94394989,11.00016132,3.71870951,3.72913635
22.08497422,58.65638531,24.12758394,10.15725082,9.31536636,12.79833106
35.29244500,159.05238776,29.89718788,9.81883843,14.75742997,11.73856186
41.70544330,148.48080875,44.80740425,10.01161044,16.37056756,6.43131612
51.25100425,120.74493572,56.92937277,9.85130313,12.83324728,16.81843819
69.34181913,-50.65128115,68.06962874,12.20630307,7.74878144,7.18423212
76.54537466,201.32904022,76.99248402,11.58248107,6.93705802,9.71687402
86.09650960,70.50615807,81.52159331,9.06030062,10.35268129,14.03531976
95.77805023,77.76679055,92.18088435,8.69536409,12.85489039,5.78251508
108.43773060,364.44695165,108.94603562,8.56081039,37.47139862,19.01371308
113.91377131,44.35636329,114.67424869,9.43545774,55.46943914,5.71536081
124.73546446,156.70926611,120.77714671,8.22313864,68.59228587,8.65813560
132.36925236,312.50587023,135.04300292,7.14922299,81.56225092,10.12978661
140.17840868,563.28722813,140.18487395,7.98908615,90.14667946,2.37602469
153.43877100,490.22319568,144.51632436,6.02101215,97.74162689,11.84505077
148.23548904,469.67322420,153.96465647,6.94017999,105.69666406,1.01121620
164.80783896,631.64133899,153.82936211,4.97768388,110.85269753,10.55535389
161.69339573,958.74925322,163.85204276,5.89224222,115.01645198,0.82697808
169.38440948,1023.25897484,166.24615416,4.52782548,116.62827496,9.31886389
173.25479663,1185.46396663,175.54538550,5.25930870,121.88700273,1.08839243
175.89532494,1428.59897764,173.86410558,3.93399506,122.58986801,7.98421564
187.82762091,1213.84675770,184.86924038,4.68132397,125.11338549,1.39155716
188.41475593,1558.08505515,190.06989150,3.49216823,126.57395276,6.87735395
184.56242115,1487.23536005,192.35378199,4.29496944,127.33245262,1.43623597
190.28517037,1478.54145386,196.97343465,3.38838971,128.53627287,6.34163644
200.02438207,1904.74941284,198.91209529,3.92811881,130.12316108,1.49265081
199.72730055,2037.97359671,202.18490397,3.11230380,130.12186621,5.43020579
211.15664645,2333.49995203,208.18023246,3.56236009,131.24581080,1.33157080
210.63617660,2362.41928002,210.38125854,3.00282728,131.32206110,4.86980697
212.78038758,2441.37821514,208.07625303,3.35656283,133.06288043,1.51500890
210.59044734,2341.71029016,216.65989998,2.78470195,133.34828790,4.20525428
218.43686817,2548.00206148,218.11658088,3.25140390,132.37807163,1.99923854
221.33268963,2771.28324432,219.93434515,2.92266242,133.07282045,3.92509406
221.76459989,2727.28170868,232.51076698,2.98743810,133.72892569,2.00941377
